dataset,top1,top3
Valentine-datasets/TPC-DI/Semantically-Joinable/prospect_both_50_70_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac3_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac4_av,0.8636363636363636,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac5_av,0.9090909090909091,0.9545454545454546
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac2_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac2_av,0.9090909090909091,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac2_av,0.9090909090909091,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac2_ev,0.9090909090909091,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ec_av,0.9545454545454546,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac5_ev,0.9090909090909091,0.9545454545454546
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac4_ev,0.9545454545454546,0.9545454545454546
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac3_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac4_av,0.9545454545454546,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac4_ev,0.9545454545454546,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac3_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ec_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac1_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac2_ev,0.9545454545454546,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac5_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac5_ev,0.9545454545454546,0.9545454545454546
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac5_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac5_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac1_ev,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac2_av,0.8636363636363636,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac1_av,0.9545454545454546,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_50_ac3_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ec_av,1.0,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_0_ac4_ev,0.9545454545454546,1.0
Valentine-datasets/TPC-DI/Unionable/prospect_horizontal_100_ac4_av,0.9545454545454546,1.0
